state,city,avg.list price,avg.price/sqft,avg.days on market
AL,1.Huntsville,"$375,000",$161,91
AL,2.Birmingham,"$165,000",$89,82
AL,3.Mobile,"$249,584",$124,85
AL,4.Madison,"$549,900",$177,109
AL,5.Montgomery,"$190,000",$108,82
AL,6.Gulf Shores,"$513,500",$286,131
AL,7.Hoover,"$504,950",$175,86
AL,8.Fairhope,"$629,000",$212,106
AL,9.Orange Beach,"$740,000",$439,134
AL,10.Tuscaloosa,"$369,900",$201,70
AL,11.Athens,"$350,000",$155,104
AL,12.Auburn,"$450,000",$207,89
AL,13.Vestavia Hills,"$484,000",$212,77
AL,14.Dothan,"$249,900",$127,49
AL,15.Trussville,"$432,400",$154,82
AL,16.Mountain Brook,"$734,000",$296,66
AL,17.Decatur,"$280,000",$134,96
AL,18.Foley,"$339,900",$176,90
AL,19.Daphne,"$319,900",$175,99
AL,20.Pelham,"$350,000",$162,66
AK,1.Anchorage,"$450,000",$222,61
AK,2.Fairbanks,"$300,000",—,62
AK,3.Juneau,"$495,000",$263,72
AK,4.Wasilla,"$499,450",$222,53
AK,5.Palmer,"$530,200",$194,95
AK,6.Homer,"$590,000",$284,170
AK,7.Ketchikan,"$387,000",$238,96
AK,8.Sitka,"$742,000",$482,134
AK,9.Soldotna,"$412,000",$200,105
AK,10.Kenai,"$380,000",$245,86
AK,11.Seward,"$637,500",$360,64
AK,12.North Pole,"$430,000",$245,78
AK,13.Kodiak,"$465,000",$283,169
AK,14.Talkeetna,"$348,500",—,174
AK,15.Willow,"$285,000",$146,146
AK,16.Haines,"$415,000",$306,152
AK,17.Sterling,"$465,000",$234,72
AK,18.Big Lake,"$492,500",$139,134
AK,19.Skagway,—,—,611
AK,20.Valdez,"$850,000",—,139
AZ,1.Phoenix,"$485,000",$282,70
AZ,2.Scottsdale,"$1,049,900",$438,79
AZ,3.Gilbert,"$639,000",$278,69
AZ,4.Chandler,"$559,000",$294,64
AZ,5.Mesa,"$479,950",$265,66
AZ,6.Tucson,"$335,000",$215,70
AZ,7.Tempe,"$499,000",$292,72
AZ,8.Queen Creek,"$675,000",$273,85
AZ,9.Flagstaff,"$749,500",$384,89
AZ,10.Prescott,"$649,000",$300,88
AZ,11.Peoria,"$569,000",$268,72
AZ,12.Surprise,"$462,998",$236,74
AZ,13.Glendale,"$449,000",$245,67
AZ,14.Sedona,"$1,200,000",$482,103
AZ,15.Goodyear,"$524,900",$224,76
AZ,16.Buckeye,"$439,900",$223,75
AZ,17.Paradise Valley,"$5,790,000",$856,92
AZ,18.San Tan Valley,"$450,000",$218,72
AZ,19.Sun City,"$299,900",$195,65
AZ,20.Maricopa,"$379,200",$192,74
AR,1.Little Rock,"$269,950",$140,81
AR,2.Bentonville,"$596,450",$230,56
AR,3.Fayetteville,"$430,525",$206,76
AR,4.Rogers,"$564,000",$218,61
AR,5.Hot Springs,"$262,450",$154,106
AR,6.Bella Vista,"$410,000",$200,54
AR,7.Conway,"$322,500",$154,70
AR,8.Benton,"$275,000",$138,70
AR,9.Sherwood,"$271,950",$143,53
AR,10.North Little Rock,"$209,698",$124,69
AR,11.Fort Smith,"$305,500",$115,96
AR,12.Bryant,"$304,500",$158,70
AR,13.Maumelle,"$359,400",$150,74
AR,14.Springdale,"$394,000",$202,60
AR,15.Hot Springs Village,"$321,900",$159,84
AR,16.Cabot,"$272,500",$146,66
AR,17.Eureka Springs,"$495,000",$148,156
AR,18.Pine Bluff,"$74,950",$94,80
AR,19.Centerton,"$479,450",$210,42
AR,20.Jonesboro,"$252,450",$130,89
CA,1.San Diego,"$969,000",$677,59
CA,2.Los Angeles,"$1,165,000",$621,84
CA,3.San Francisco,"$1,098,800",$876,85
CA,4.San Jose,"$999,000",$864,47
CA,5.Irvine,"$1,749,995",$802,69
CA,6.Fremont,"$1,065,000",$921,42
CA,7.Sacramento,"$496,500",$328,53
CA,8.Pasadena,"$1,230,000",$743,67
CA,9.Long Beach,"$799,000",$618,67
CA,10.Pleasanton,"$1,577,000",$922,54
CA,11.Temecula,"$849,000",$368,56
CA,12.Riverside,"$685,000",$374,66
CA,13.Dublin,"$980,000",$781,56
CA,14.Corona,"$807,000",$408,62
CA,15.San Ramon,"$1,346,500",$702,41
CA,16.Rancho Cucamonga,"$859,999",$454,52
CA,17.Fullerton,"$987,450",$569,57
CA,18.Huntington Beach,"$1,494,500",$758,59
CA,19.Sunnyvale,"$1,648,236","$1,209",54
CA,20.Glendale,"$1,159,000",$673,67
CO,1.Denver,"$550,000",$340,89
CO,2.Colorado Springs,"$457,638",$216,82
CO,3.Boulder,"$940,000",$532,116
CO,4.Littleton,"$589,900",$297,70
CO,5.Aurora,"$474,150",$223,84
CO,6.Fort Collins,"$500,000",$272,79
CO,7.Arvada,"$664,500",$278,72
CO,8.Parker,"$680,000",$214,80
CO,9.Lakewood,"$477,500",$279,69
CO,10.Golden,"$850,000",$365,69
CO,11.Broomfield,"$599,000",$256,75
CO,12.Westminster,"$475,000",$258,70
CO,13.Castle Rock,"$660,000",$202,81
CO,14.Thornton,"$545,500",$218,61
CO,15.Highlands Ranch,"$700,000",$248,75
CO,16.Longmont,"$585,000",$239,75
CO,17.Centennial,"$601,200",$252,69
CO,18.Loveland,"$500,000",$221,89
CO,19.Evergreen,"$976,250",$349,62
CO,20.Erie,"$825,000",$218,83
CT,1.Greenwich,"$3,995,000",$749,108
CT,2.Stamford,"$694,000",$387,62
CT,3.West Hartford,"$589,500",$250,49
CT,4.Westport,"$3,147,500",$572,98
CT,5.New Haven,"$329,000",$179,84
CT,6.Norwalk,"$684,900",$400,60
CT,7.Milford,"$499,000",$298,64
CT,8.Darien,"$4,888,000",$688,103
CT,9.Ridgefield,"$1,699,500",$352,89
CT,10.Hartford,"$279,950",$150,61
CT,11.Trumbull,"$649,500",$301,52
CT,12.Danbury,"$485,000",$254,56
CT,13.Bridgeport,"$374,900",$215,63
CT,14.Stratford,"$429,000",$241,67
CT,15.Shelton,"$549,950",$258,56
CT,16.Waterbury,"$290,000",$171,66
CT,17.Manchester,"$299,900",$207,44
CT,18.Newtown,"$699,000",$265,103
CT,19.West Haven,"$380,000",$214,52
CT,20.North Haven,"$459,450",$230,58
DE,1.Wilmington,"$217,000",$172,55
DE,2.Newark,"$449,000",$215,74
DE,3.Rehoboth Beach,"$1,974,500","$1,000",78
DE,4.Lewes,"$1,259,950",$254,78
DE,5.Bethany Beach,"$2,600,000",$624,56
DE,6.Middletown,"$422,500",$210,60
DE,7.Bear,"$360,000",$183,72
DE,8.Dover,"$317,500",$172,48
DE,9.New Castle,"$329,900",$216,48
DE,10.Hockessin,"$649,900",$222,61
DE,11.Fenwick Island,"$1,799,900",$558,81
DE,12.Selbyville,"$495,000",$230,84
DE,13.Smyrna,"$447,000",$169,104
DE,14.Ocean View,"$517,494",$226,102
DE,15.Claymont,"$300,000",$204,46
DE,16.Dewey Beach,"$1,100,000","$1,194",100
DE,17.Millsboro,"$349,900",$178,81
DE,18.Milton,"$499,900",$229,109
DE,19.Milford,"$329,450",$171,66
DE,20.Townsend,"$566,400",—,67
FL,1.Orlando,"$325,000",$246,85
FL,2.Tampa,"$495,550",$286,84
FL,3.Miami,"$730,000",$537,118
